text,processed_text
안녕하세요 국내 최고령 찐따(아마도)입니다,국내 최고 령
"안녕하세요! 저는 첫 번째 줄에 있는 소녀들 중 한 명이었는데, 정말 좋았어요! 칸에 오셔서 프랑스 kdrama 팬분들과 교류해 주셔서 정말 감사합니다!  여러분 모두를 곧 다시 볼 수 있기를 바랍니다! 🇫🇷🇫🇷",저 첫 줄 소녀 중 명 정말 칸 프랑스 팬 교류 정말 여러분 모두 곧 다시 볼 수
와....구독자 1000명 되어서 울었었다는 그 빠니보틀 맞냐... 가슴이 웅장해진다... 월클보틀 너무 축하드립니다! 앞으로도 좋은영상 많이 만들어주세요,독자 명 그 보틀 가슴 웅장 월 보틀 축하 앞 영상
"칸에 초청받는게 꿈인 영화과 입시생 고등학생입니다. 빠니보틀님 영상 보며  세계여행이라는 목표를 가지게 되어서,  처음엔 그냥 내가 못 가는 곳 대리만족하려고 보는 마음이 컸는데,  이제는 내가 미래에 갈 곳 미리보기 하는 느낌으로 영상 봤었거든요. 근데 오늘 이 영상 보니까 나도 칸에 갈 수 있을거다라는 그런 희망이 생겨요. 원래는 그냥 허황된 꿈일거라 생각했었는데 내가 꿈에서만 그리던 칸에 직접 빠니님이 초청받으신거 보니까,, 이것도 나의 미래의 미리보기구나 하는 마음이 들어요. 너무 멋있어요 좋은 영상 감사합니다!",칸 초청 꿈 영화 입 시생 고등학생 보틀 영상 세계 여행 목표 가지 처음 그냥 내 못 곳 대리 마음 이제 내 미래 곳 미리보기 느낌 영상 오늘 이 영상 보 칸 수 희망이 원래 그냥 허황 꿈 생각 내 꿈 칸 직접 빠니님 초청 거 보 것 나 미래 미리보기 구나 마음 영상
"잠시 지치시기도 했지만, 다시 더 활짝 웃는 모습 볼 수 있어서 너무 좋습니다!여행 유튜버 영역을 이미 뛰어넘으셨어요.. 칸이라니진짜 가슴 뜨거워지고 기분 좋네요ㅎㅎ 진심으로 축하드려요. 항상 응원하겠습니다!!",잠시 기도 다시 더 활짝 모습 볼 수 여행 유튜버 영역 칸 진짜 가슴 기분 진심 축하 항상 응원
곽배우님 진짜 친절하시다...선 자체가 너무 다르셔...남자가 봐도 눈이 즐거운??빠니형 귀국축하드리고 깐느에서 좋은 결과있으시길 빌겠습니다.술꾼녀배우분들 진심 너무 멋지다가 진짜인듯.형 1억구독자 ㄱㄱㄱㄱㄱ!!,곽 배우 진짜 선 자체 남자 눈 형 귀국 축하 깐느 결과 술 녀 배우 진심 진짜 듯 형
"많은분이 그렇듯이 저도 인도 기차편으로 유입된 구독자입니다
여행1편 - 귀농 - 좋좋소 - 여행2편 - 칸까지.. 모든 여정 함께해서 즐거웠습니다
앞으로의 빠니보틀의 행보도 응원하겠습니다",분 저 인도 차편 유입 독자 여행 편 귀농 여행 편 칸 모든 여정 앞 보틀 행보 응원
진짜 여행을 즐기는 건 빠니형님이 최고인듯 옛날에 인도여행 시절부터 보았지만 남들과는 다르게 억지로 웃는게 아닌 진심이 느껴짐 그리고 항상 여행할 때 마다 만나는 새로운 인연들도 다양해서 이게 여행의 맛이구나를 간접적으로 느끼게 되기도 하고 비록 이제 다시 한국으로 돌아오셔서 일상을 보내시지만 코로나가 잠잠해지는 그 순간 다시 한번 우리 구독자들과 곽튜브와 신혼 여행을 하실 신랑 빠니님을 기다리며 계속 영상 챙겨보겠습니다. 다음을 기약하며 안녕히!,진짜 여행 건 형님 최고 듯 옛날 인도 여행 시절 남 억지로 진심 항상 여행 때 마다 인연 이 여행 맛 를 간접 기도 비록 이제 다시 한국 일상 코로나 그 순간 다시 한번 우리 독자 곽튜브 신혼 여행 신랑 빠니님 계속 영상 다음 기약
빠니보틀님의 영상을 내가 좋아하는 이유.... 재미진 이야기나 볼거리 흥미거리만 제공하는 것이 아니라 항상 마지막영상에 무언가 모를 감동과 여운이 있는게 깊게 남아요영상을 전달하는데 감각이나 능력이 뛰어나신 듯 합니다 이러다 진짜 찐팬 되겠네요 아니 사실 벌써 찐팬 됐어요 ,보틀 영상 내 이유 재미 진 이야기 볼거리 흥미 거리 제공 것 항상 마지막 영상 무언가 감동 여운 남아 영상 전달 감각 능력 듯 진짜 팬 사실 벌써 팬
빠니 채널본지도 2년된거 같은데 단순히 여행컨텐츠를 넘어서 웹툰스토리 짜던 본래의 재능을 살려 이렇게 성장하신게 넘나 대단하신듯. 여러모로 잘되셔서 너무 보기 좋네요 ㅎㅎ,채널 지도 여행 컨텐츠 웹툰 스토리 본래 재능 모로 보기
"칸의 부름을 받는 건 모든 영화/드라마 제작자들이 누릴 수 있는 가장 큰 영애 중 하나라 생각하는데, 진짜 너무 대단하십니다! 앞으로도 작품 계속 만들어 주세요:)",칸 건 모든 영화 드라마 제작자 수 가장 영애 중 하나라 생각 진짜 앞 작품 계속
데뷔작이 바로 칸으로...감동 그 자체.,데뷔 작 바로 칸 감동 그 자체
아무것도 하지않으면 아무일도 일어나지않는다 라는 말의 반대의 표본인 빠니보틀님!!!! 도전하고 시도하는 빠니보틀님 채널을 알게되어 너무 좋습니다. 오랜 여행끝에 한국 귀국을 축하드려요,것 일도 일어나지 말 반대 표본 보틀 도전 시도 보틀 채널 알 여행 끝 한국 귀국 축하
"아 진짜 빠니형님!!!!!! 너무 보고 싶었어요. 빠니님 영상을 얼마나 기다렸는지 몰라요 매번 느끼는건데 빠니님 영상은 길이에 상관없이 매번 깊은 여운을 주는것 같아요. 영상의 마지막에 느낀점을 간략하게 적어주시는것도 너무 인상적이예요. 비록 여행에 지쳐서 쉬신다고 하셨지만 적적하실 때, 구독자들과 소통하고 싶을 때 종종 방송 해주세요. 항상 기다릴게요.",진짜 형님 보고 빠니님 영상 얼마나 매번 빠니님 영상 길이 매번 여운 영상 마지막 점 인상 이예 비록 여행 쉬 때 독자 소통 때 종종 방송 항상
긴 여행 너무 수고 많으셨습니다. 이번 해외여행 처음 본 게 엊그제같은데 243일이나 지났다니 시간 참 빠른 것 같아요. 미국 간거부터 시작해서 남미 등등 여행 영상 올라올 떄 마다 하나씩 봤는데 보다보니 해가 바껴있다는게 참 신기한것같아요. 다시 한번 긴 여행 수고하셨고 편히 쉬세요,여행 수고 이번 해외여행 처음 게 엊그제 시간 것 미국 시작 남미 등등 여행 영상 떄 마다 하나 해 바 다시 한번 여행 수고
칸 페스티벌까지 구경 시켜 주시고오!! 대박이셔♡ 정말 제가 시야가 넓어지는 느낌이에요! 그리고 차려입으신거 정말 멋지시네여♡여행 마무리가  고생하신만큼 보상받으신 거 같아 괜히 제가 다 뿌듯합니다아♡ 무사귀환 축하드리고 앞으로의 행보도 항상 응원하겠습니다 'ㅅ',칸 페스티벌 구경 주시 고오 대박 셔 정말 제 시야 느낌 거 정말 멋 지시 여행 마무리 고생 보상 거 제 무사 귀환 축하 앞 행보 항상 응원
영상 보고 되게 열심히 살고 싶어짐. 빠니보틀도 대단하고 여기 모든 배우님들도 얼마나 열심히 하셨는지가 느껴져서 좋다. 빠니보틀 유투브 말고도 계속 드라마 감독해서 전세계로 나갔음 좋겠다.,영상 보고 살 짐 보틀 여기 모든 배우 얼마나 보틀 유투브 계속 드라마 감독 전세계
인도 막바지부터 봤는데 빠니형 이렇게 대기업 된거 보니까 감격스럽다…!!! 앞으로 유튜브도 더 잘되고 감독으로도 더 성공했으면!! 항상 응원해요 빠니형!!!,인도 막바지 형 대기업 된거 보 감격 앞 유튜브 더 감독 더 항상 응원 형
사실 저 정도 클래스인데 걍 세계여행 떠나버리는 갓틀보틀 그는 진정 과소평가된 유튜버임이 분명하다... 칸이라니 ㄷㄷ,사실 저 정도 클래스 세계 여행 틀 보틀 그 진정 과소 평가 유튜버임 칸
무한도전에서 유명한 춤추는 작가님이 나오시다니 그 장면은 예상 못했는데요. 우리나라 콘텐츠들이 전세계에 뻗어나가는군요.,무한도전 작가 그 장면 예상 우리나라 콘텐츠 전세계
내가 알던 인도에서  음성 없이 음식 영상 찍던 유튜버가 맞나.. ㄷㄷ 칸 이라니.. 가슴이 웅장해진다,내 인도 음성 음식 영상 유튜버 칸 가슴 웅장
오랜만에 올라왔네요 영상 >_< 확실히 다합에서 한달동안 힐링하시고나니 얼굴도 좋아지시고 표정도 밝아지셨네요 ㅎㅎ 게다가 칸 드라마 페스티벌에도 초청되시고 진짜 셀럽 다되셨네요  한때는 구독자 천명 넘으셨을때 눈물 흘리셨다는 분이 이젠 여기까지 오시니까 흐뭇하네요 ㅎㅎㅎ 고생 많으셨고 한국에서도 쉬시면서 다음 여행 준비 잘 하시길요 ,만 영상 다합 달동 안 힐링 얼굴 표정 게다가 칸 드라마 페스티벌 초청 진짜 셀럽 때 독자 천명 때 눈물 분 젠 여기 오시 고생 한국 다음 여행 준비 길
좋좋소 근 1년간 본 드라마 중에 술꾼 여자들과 더불어 가장 재미있게 본 드라마입니다. 제가 예전에 다녔던 회사랑 너무 닮아서 공감되기도 했고요~ 그런 훌륭한 드라마를 만드신분이 빠니보틀이라는 사실을 나중에서야 알게 되어 깜짝 놀랐습니다. 정말 다재다능한 능력자님의 칸 입성 축하드립니다. ㅎㅎㅎㅎ,드라마 중 술 여자 가장 드라마 제 예전 회사 공감 기도 드라마 분 보틀 사실 나중 알 깜짝 정말 능력자 칸 입성 축하
15:35 정은지님한테 채널 안 말하고 쉬고 있다고 말하는 게 리얼빠니클라스..,정은지 채널 안 말 쉬 말 게 리얼 클라스
"빠니님 보면서 세계여행 꿈을 중3때부터 키웠는데, 성인이 훌쩍 되버렸네요 ㅋㅋㅋ 벌써 영상 돌려본지 수십번은 된것 같아요. 물론 제가 지금하려하는 정비사 면허를 따고, 해외 항공사 취직을 하면 뭔가 세계여행이 아닐것 같기는 하지만요 ㅋㅋㅋㅋㅋㅋㅋㅋ 빠니님 초반 영상처럼 뭔가에 얽매이지 않고 여행하는거 너무 해보고 싶네요!추신: 코로나 이후 우리나라 항공사 매출 10%는 빠니보틀이 일궈낸것임 ㅋㅋㅋㅋㅋ",빠니님 세계 여행 꿈 중 때 성인 훌쩍 벌써 영상 번은 제 지금 정비사 면허 해외 항공사 취직 뭔가 세계 여행 만요 빠니님 초반 영상 뭔가 얽매 여행 코로나 이후 우리나라 항공사 매출 보틀 임
인도여행때부터 봐온 구독자로서 빠니보틀님이 구독자 100만이 넘는 유튜버가 되시고 칸에까지 초청받으시는 모습이 너무 좋습니다ㅜㅜ,인도 여행 때 온 독자 로서 보틀 독자 유튜버 칸 초청 모습
꿈을 포기했던 많은 지친 마음들에 다시 꿈을 심어준 빠니 항상 잘되도록 응원해요 솔직하고 담백하고 두려움 없는 박재한 많은 사람들의 영감을 주는 삶을 계속 살기를,꿈 포기 마음 다시 꿈 준 항상 응원 두려움 박재한 사람 영감 삶 계속 살기
꺄 오랜만에 맛있는 감자형보니까 너무 좋네요.. 재수할 때 첫 영상부터 끝까지 여행 정주행한 동생으로써 너무 뿌듯합니다. 시험기간이라 공부하다가 잘 안될 때 다시 보러올게요! 항상 건강하시고 행복하세요! 재밌는 유튜브 영상 만들려고 너무 무리하지 마시고 롱런하시길 바라겠습니다!!️,꺄 만 감자 보 재수 때 첫 영상 끝 여행 정 주행 동생 시험 기간 공부 때 다시 항상 유튜브 영상 롱런
와 제가 군대가기 전부터 봤던 빠니보틀님이 코로나때매 한국 들어오셔서 감독이 되시고 이젠 칸에 초대까지 받으시다니... 믿기지가 않네요 영상에 대한 감각이 살아 있으셔서 이렇게 승승장구 하시는거 같애요 화이팅입니다,제 군대 가기 전 보틀 코로나 때매 한국 감독 젠 칸 초대 영상 대한 감각 살 승승장구 애 화이팅
"I'm so proud of Pani Bottle.  Feels like if you do what you love, good things will come.  And even if it doesn't, you did what you love.",
"19:25 이때 그는 아직 몰랐다. 앞으로 수 차례나 더 칸에 오게 되리라는 것을...N년 뒤, 전설의 '그' 작품으로 감독 박재한은 칸에 다시 오게 된다...",때 그 앞 수 차례 더 칸 것 년 뒤 전설 그 작품 감독 박재한 칸 다시
